GIF ID,Web Archive Link,GIPHY Title,Score,
1000eGIbYHercI,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1000eGIbYHercI/giphy.gif,slipper GIF,0.50,
1000fHsBSKSL6w,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1000fHsBSKSL6w/giphy.gif,swag hustling GIF,0.50,
1000WjcUQeqOaY,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1000WjcUQeqOaY/giphy.gif,jennifer lawrence salute GIF,0.50,
1003Kuq13ICXDO,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1003Kuq13ICXDO/giphy.gif,love happy GIF,0.50,
1004D5v8Dbe6cw,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1004D5v8Dbe6cw/giphy.gif,visual album beyonce GIF,0.50,
1004Eqp3k9U6KQ,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/1004Eqp3k9U6KQ/giphy.gif,the muppets nodding GIF,0.50,
1006rsC9OMmOVq,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1006rsC9OMmOVq/giphy.gif,NA,0.50,
1007d28L3ZIjRe,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/1007d28L3ZIjRe/giphy.gif,bread eating GIF,0.50,
100afL9qoUSWSQ,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100afL9qoUSWSQ/giphy.gif,happy new england patriots GIF,0.50,
100ak1Sn7F3ius,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100ak1Sn7F3ius/giphy.gif,michael jackson dancing GIF,0.50,
100buaImlNtEuk,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100buaImlNtEuk/giphy.gif,absolutely fabulous GIF,0.50,
100d6UtqKnuNuU,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100d6UtqKnuNuU/giphy.gif,inuyasha GIF,0.50,
100hiniRFKa3OE,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100hiniRFKa3OE/giphy.gif,cat watching GIF,0.50,
100J4cu5UbCnVm,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100J4cu5UbCnVm/giphy.gif,american crime story acs GIF,0.50,
100JPq1ylYXEti,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100JPq1ylYXEti/giphy.gif,film GIF by The LEGO Movie,0.50,
100nNU4B0kDXwc,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100nNU4B0kDXwc/giphy.gif,NA,0.50,
100OkkLXrQm6mA,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100OkkLXrQm6mA/giphy.gif,NA,0.50,
100ozIfJLGEyxW,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100ozIfJLGEyxW/giphy.gif,the mask flirting GIF,0.50,
100PvT5qaOSre0,http://webarchive.loc.gov/all/20150318155641/https://media.giphy.com/media/100PvT5qaOSre0/giphy.gif,game show spinning GIF,0.50,
100SPyKImgpJMQ,http://webarchive.loc.gov/all/20150318155641/http://media.giphy.com/media/100SPyKImgpJMQ/giphy.gif,stevie wonder deal with it GIF,0.50,
